المسار,النوع,العنوان,المسؤول,الحالة,التاريخ
أ,مهمة,تثبيت الجدول الزمني وخطة الاعتمادات,PMC,مكتملة,2026-08-20
أ,مهمة,إعداد سجل المخاطر وخطة التغيير,PMC,قيد التنفيذ,2026-08-24
أ,مهمة,اعتماد مصفوفة الحوكمة والمسؤوليات,PMC,مكتملة,2026-08-18
أ,معلم رئيسي,اعتماد خط الأساس للمشروع,PMC,معتمدة,2026-08-22
أ,تصريح,اعتماد متطلبات الجهات الإشرافية,PMC,قيد التنفيذ,2026-09-01
ب,مهمة,إعداد خطة التواصل والتغطية الإعلامية,التواصل والتسويق,قيد التنفيذ,2026-08-29
ب,مهمة,تجهيز المركز الإعلامي والمحتوى الرقمي,التواصل والتسويق,قيد التنفيذ,2026-09-05
ب,مهمة,اعتماد الهوية البصرية والرسائل الإعلامية,التواصل والتسويق,مكتملة,2026-08-26
ب,مخاطرة,تأخر اعتماد المحتوى الإعلامي,التواصل والتسويق,تحت المتابعة,2026-08-29
ب,معلم رئيسي,إطلاق الحملة التشويقية,التواصل والتسويق,تحت المتابعة,2026-09-12
ج,مهمة,تجهيز خطة الضيافة والبروتوكول و VIP,الفعاليات,قيد التنفيذ,2026-09-10
ج,مهمة,اعتماد سيناريو العروض الفنية والإنتاج التقني,الفعاليات,تحت المتابعة,2026-09-14
ج,مهمة,خطة إدارة الحضور والتفويج,الفعاليات,معرضة للخطر,2026-09-16
ج,معلم رئيسي,اعتماد برنامج الأنشطة المصاحبة,الفعاليات,تحت المتابعة,2026-09-18
ج,تصريح,تصاريح العروض والألعاب النارية,الفعاليات,قيد التنفيذ,2026-09-15
د,مهمة,جاهزية مسارات الحديقة والتشغيل الميداني,التشغيل الميداني,معرضة للخطر,2026-09-24
د,مهمة,تجهيز مواقف السيارات وخطة النقل,التشغيل الميداني,قيد التنفيذ,2026-09-20
د,مهمة,خطة الاستدامة والإدارة البيئية,التشغيل الميداني,قيد التنفيذ,2026-09-19
د,مخاطرة,اختبار السلامة والطوارئ والإخلاء,السلامة,معرضة للخطر,2026-09-12
د,تصريح,اعتماد الدفاع المدني للموقع,السلامة,تحت المتابعة,2026-09-17
